;choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;CHARGING_FUELING_TIME_0_0;CHARGING_FUELING_TIME_1_0;CHARGING_FUELING_TIME_2_0;CHARGING_FUELING_TIME_3_0;PURCHASE_PRICE_0_0;RANGE_0_0;PURCHASE_PRICE_1_0;RANGE_1_0;PURCHASE_PRICE_2_0;RANGE_2_0;PURCHASE_PRICE_3_0;RANGE_3_0
0;1;0;0;0;1;1;1;0;2;2;15;0;8.235294118;7;22.35294118;5;12.94117647;2.5;0;0
1;0;0;1;0;1;1;1;0;2;2;5;0;4.761904762;7;8.571428571;5;10.47619048;2.5;0;0
2;0;0;0;1;0;1;1;1;0;2;10;2;0;0;13.84615385;5;20;6.5;13.84615385;6
3;0;0;1;0;0;1;1;0;0;2;5;0;0;0;13.10344828;5;4.137931034;6.5;0;0
4;0;0;0;1;1;0;0;1;2;0;0;2;7.222222222;5;0;0;0;0;5;6
5;0;0;1;0;1;0;1;1;2;0;5;2;17.89473684;5;0;0;15.78947368;4.5;9.473684211;4
6;0;0;1;0;1;0;1;0;2;0;25;0;15.29411765;9;0;0;22.35294118;4.5;0;0
7;0;0;1;0;1;1;1;0;2;2;15;0;13.68421053;7;5.263157895;9;5.263157895;2.5;0;0
8;1;0;0;0;1;0;1;0;2;0;15;0;8.235294118;7;0;0;7.058823529;6.5;0;0
9;1;0;0;0;1;1;1;0;2;2;20;0;10.76923077;7;16.92307692;5;29.23076923;4.5;0;0
10;0;0;1;0;0;1;1;1;0;2;10;2;0;0;42.22222222;5;28.88888889;4.5;20;8
11;0;0;1;0;0;1;1;1;0;2;10;2;0;0;12;5;6.666666667;4.5;13.33333333;8
12;0;0;0;1;1;0;1;1;2;0;25;2;13.6;7;0;0;4.8;2.5;8.8;8
13;0;0;0;1;0;1;1;1;0;2;10;2;0;0;15.55555556;7;22.22222222;2.5;20;8
14;0;0;0;1;1;0;1;1;2;0;20;2;32;9;0;0;28;2.5;36;6
15;0;0;1;0;0;1;1;1;0;2;10;2;0;0;37.77777778;7;15.55555556;6.5;24.44444444;4
16;0;1;0;0;0;1;1;0;0;2;5;0;0;0;15.55555556;9;42.22222222;4.5;0;0
17;0;0;0;1;0;1;1;1;0;2;15;2;0;0;10.76923077;9;20;4.5;13.84615385;4
18;0;1;0;0;1;1;1;0;2;2;20;0;3.888888889;7;6.111111111;5;7.222222222;6.5;0;0
19;0;0;0;1;1;0;1;1;2;0;5;2;12.94117647;5;0;0;9.411764706;4.5;10.58823529;8
20;0;1;0;0;0;1;1;1;0;2;15;2;0;0;23.63636364;9;10.90909091;2.5;16.36363636;6
21;0;0;0;1;0;0;1;1;0;0;10;2;0;0;0;0;44;2.5;32;6
22;0;1;0;0;1;1;1;0;2;2;5;0;23.63636364;5;5.454545455;9;20;4.5;0;0
23;0;0;1;0;1;1;1;0;2;2;25;0;5.454545455;7;20;5;20;6.5;0;0
24;0;0;1;0;1;0;1;0;2;0;25;0;9.62962963;9;0;0;14.07407407;4.5;0;0
25;0;1;0;0;0;1;1;0;0;2;20;0;0;0;10;9;24.28571429;6.5;0;0
26;1;0;0;0;1;0;1;1;2;0;20;2;6.086956522;9;0;0;8.695652174;2.5;13.04347826;4
27;0;0;0;1;0;1;1;1;0;2;10;2;0;0;2.608695652;9;9.565217391;2.5;7.826086957;6
28;0;1;0;0;0;1;1;1;0;2;10;2;0;0;8.235294118;9;22.35294118;4.5;9.411764706;4
29;0;0;1;0;0;1;1;0;0;2;20;0;0;0;20;7;23.63636364;6.5;0;0
30;0;0;1;0;0;1;1;1;0;2;10;2;0;0;34.54545455;7;10.90909091;6.5;20;4
31;0;0;0;1;1;0;1;1;2;0;20;2;33.33333333;9;0;0;33.33333333;4.5;17.77777778;4
32;0;1;0;0;0;1;1;1;0;2;10;2;0;0;16.92307692;9;4.615384615;4.5;26.15384615;8
33;0;1;0;0;0;1;1;0;0;2;5;0;0;0;40;9;60;4.5;0;0
34;0;0;1;0;1;0;1;1;2;0;20;2;4.8;9;0;0;5.6;6.5;8.8;4
35;1;0;0;0;1;0;1;0;2;0;20;0;9.090909091;5;0;0;23.63636364;6.5;0;0
36;0;0;1;0;1;1;1;0;2;2;5;0;17.33333333;9;14.66666667;7;8;2.5;0;0
37;0;0;1;0;1;0;1;1;2;0;10;2;17.33333333;9;0;0;12;2.5;20;6
