,Param_Name,Param_Value,Param_Index,Choice_Alternative,t_stats,t_stats_abs,Param_Name_Short,Param_Value_Star
0,ASC_1,-2.5800595077862147,0,1,-5.683260600316338,5.683260600316338,ASC,-2.58***
1,ASC_2,-5.435706626139561,0,2,-14.305321547026493,14.305321547026493,ASC,-5.436***
2,ASC_3,-6.094632031103625,0,3,-7.266326930080524,7.266326930080524,ASC,-6.095***
3,work_distance_log_0,-0.09637126094037751,1,0,-4.195344432228546,4.195344432228546,work_distance_log,-0.096***
4,dist_goods_0,-0.08787454435215045,2,0,-5.129531110774982,5.129531110774982,dist_goods,-0.088***
5,lim_health_0,0.11460787441207146,3,0,2.332607341170484,2.332607341170484,lim_health,0.115***
6,social_share_co_0,-0.18967937444285068,4,0,-18.010525865805022,18.010525865805022,social_share_co,-0.19***
7,age_group_0,-0.08949637127038944,5,0,-1.6257442158557671,1.6257442158557671,age_group,-0.089
8,hh_size_0,-0.4509072086359623,6,0,-11.04865644178618,11.04865644178618,hh_size,-0.451***
9,ewzahl_0,0.45936412183113096,7,0,5.651927666215326,5.651927666215326,ewzahl,0.459***
10,net_income_0,-0.4474529113267264,8,0,-8.301142403058522,8.301142403058522,net_income,-0.447***
11,work_distance_log_1,0.02840294712100179,1,1,1.2836497320094762,1.2836497320094762,work_distance_log,0.028
12,dist_goods_1,0.009799934446136438,2,1,0.32061336882210595,0.32061336882210595,dist_goods,0.01
13,lim_health_1,0.23749826737785865,3,1,3.5852776713928387,3.5852776713928387,lim_health,0.237***
14,social_share_co_1,0.013657930564348043,4,1,-0.060850054625647014,0.060850054625647014,social_share_co,0.014
15,age_group_1,0.14334649997651946,5,1,4.085283789973154,4.085283789973154,age_group,0.143***
16,hh_size_1,-0.1718434983330662,6,1,-5.356786862530153,5.356786862530153,hh_size,-0.172***
17,ewzahl_1,0.15837654296631057,7,1,3.156358749152069,3.156358749152069,ewzahl,0.158***
18,net_income_1,-0.1475844136181968,8,1,-4.186391310245568,4.186391310245568,net_income,-0.148***
19,work_distance_log_2,0.11934698325679023,1,2,4.625065860587477,4.625065860587477,work_distance_log,0.119***
20,dist_goods_2,0.027251237080620223,2,2,2.734140242760128,2.734140242760128,dist_goods,0.027***
21,lim_health_2,0.21165632167908502,3,2,0.6317124928581651,0.6317124928581651,lim_health,0.212
22,social_share_co_2,0.12112517836190834,4,2,7.128354567081673,7.128354567081673,social_share_co,0.121***
23,age_group_2,0.012913580608175533,5,2,0.407335413471355,0.407335413471355,age_group,0.013
24,hh_size_2,0.1869133875230614,6,2,2.422125117398509,2.422125117398509,hh_size,0.187***
25,ewzahl_2,-0.16035642850512774,7,2,-2.4812770645706768,2.4812770645706768,ewzahl,-0.16***
26,net_income_2,0.2565627686257275,8,2,6.658126863813351,6.658126863813351,net_income,0.257***
27,work_distance_log_3,-0.051378669436780336,1,3,-0.7392428986327888,0.7392428986327888,work_distance_log,-0.051
28,dist_goods_3,0.05082337284107971,2,3,3.5332018431542016,3.5332018431542016,dist_goods,0.051***
29,lim_health_3,-0.5637624634689586,3,3,-2.545248160986921,2.545248160986921,lim_health,-0.564***
30,social_share_co_3,0.05489626552346961,4,3,2.325599629359768,2.325599629359768,social_share_co,0.055***
31,age_group_3,-0.06676370931336505,5,3,-1.6455448614103503,1.6455448614103503,age_group,-0.067*
32,hh_size_3,0.4358373194465111,6,3,5.3128850510871874,5.3128850510871874,hh_size,0.436***
33,ewzahl_3,-0.45738423629207337,7,3,-5.471878273212291,5.471878273212291,ewzahl,-0.457***
34,net_income_3,0.33847455631969525,8,3,5.9470427145053595,5.9470427145053595,net_income,0.338***
