,Param_Name_Short,Choice_0,Choice_1,Choice_2,Choice_3
0,ASC,,-3.642***,-6.62***,-7.565***
1,work_distance_log,-0.037*,0.014,0.107,-0.084
2,home_office,0.58,0.078,-0.197,-0.46
3,dist_goods,-0.076***,0.006,0.025,0.045*
4,lim_health,0.166*,0.214***,0.21,-0.59**
5,social_share_co,-0.193***,0.017,0.121***,0.056*
6,age_group,-0.06,0.176***,-0.009,-0.107*
7,employed,-0.394*,-0.055,-0.03,0.479**
8,hh_size_below_18,-0.145**,-0.042,0.055,0.132***
9,hh_size_over_18,-0.671***,-0.288***,0.27,0.69***
10,ewzahl,0.391***,0.221***,-0.114,-0.498**
11,importance_pt_qual_for_co,-11.85***,3.808***,3.978***,4.064***
12,net_income,-0.447***,-0.168***,0.268***,0.347***
